PlantID,AncestorId,Symbol,ScientificName,CommonName,RankId,Rank
31219,7168,Plantae,Plantae,Plants,10,Kingdom
31219,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
31219,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
31219,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
31219,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
31219,31160,Asteridae,Asteridae,,70,Subclass
31219,31161,Asterales,Asterales,,80,Order
31219,31162,ASTERA,Asteraceae Bercht. & J. Presl,Aster family,100,Family
31219,31176,ACHIL,Achillea L.,yarrow,140,Genus
31219,31206,ACMI2,Achillea millefolium L.,common yarrow,180,Species
31219,31219,ACMIB,Achillea millefolium L. var. borealis (Bong.) Farw.,boreal yarrow,200,Variety
31308,7168,Plantae,Plantae,Plants,10,Kingdom
31308,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
31308,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
31308,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
31308,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
31308,31160,Asteridae,Asteridae,,70,Subclass
31308,31161,Asterales,Asterales,,80,Order
31308,31162,ASTERA,Asteraceae Bercht. & J. Presl,Aster family,100,Family
31308,31307,ADENO,Adenocaulon Hook.,trailplant,140,Genus
31308,31308,ADBI,Adenocaulon bicolor Hook.,American trailplant,180,Species
72494,7168,Plantae,Plantae,Plants,10,Kingdom
72494,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
72494,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
72494,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
72494,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
72494,71219,Magnoliidae,Magnoliidae,,70,Subclass
72494,72291,Ranunculales,Ranunculales,,80,Order
72494,72433,RANUNC,Ranunculaceae Juss.,Buttercup family,100,Family
72494,72476,ACTAE,Actaea L.,baneberry,140,Genus
72494,72491,ACRA7,Actaea racemosa L.,black baneberry,180,Species
72494,72494,ACRAR,Actaea racemosa L. var. racemosa ,black bugbane,200,Variety
72491,7168,Plantae,Plantae,Plants,10,Kingdom
72491,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
72491,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
72491,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
72491,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
72491,71219,Magnoliidae,Magnoliidae,,70,Subclass
72491,72291,Ranunculales,Ranunculales,,80,Order
72491,72433,RANUNC,Ranunculaceae Juss.,Buttercup family,100,Family
72491,72476,ACTAE,Actaea L.,baneberry,140,Genus
72491,72491,ACRA7,Actaea racemosa L.,black baneberry,180,Species
72501,7168,Plantae,Plantae,Plants,10,Kingdom
72501,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
72501,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
72501,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
72501,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
72501,71219,Magnoliidae,Magnoliidae,,70,Subclass
72501,72291,Ranunculales,Ranunculales,,80,Order
72501,72433,RANUNC,Ranunculaceae Juss.,Buttercup family,100,Family
72501,72476,ACTAE,Actaea L.,baneberry,140,Genus
72501,72501,ACRU2,Actaea rubra (Aiton) Willd.,red baneberry,180,Species
72484,7168,Plantae,Plantae,Plants,10,Kingdom
