PlantID,AncestorId,Symbol,ScientificName,CommonName,RankId,Rank
21247,7168,Plantae,Plantae,Plants,10,Kingdom
21247,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
21247,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
21247,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
21247,15730,Liliopsida,Liliopsida,Monocotyledons,60,Class
21247,16860,Commelinidae,Commelinidae,,70,Subclass
21247,17114,Cyperales,Cyperales,,80,Order
21247,19899,POACEA,Poaceae Barnhart,Grass family,100,Family
21247,21246,CALAM6,×Calammophila Brand,calammophila,140,Genus
21247,21247,CADO7,×Calammophila don-hensonii Reznicek & E.J. Judziewicz [Ammophila breviligulata × Calamagrostis canadensis],Henson's calammophila,180,Species
75307,7168,Plantae,Plantae,Plants,10,Kingdom
75307,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
75307,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
75307,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
75307,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
75307,73681,Rosidae,Rosidae,,70,Subclass
75307,75273,Euphorbiales,Euphorbiales,,80,Order
75307,75289,EUPHOR,Euphorbiaceae Juss.,Spurge family,100,Family
75307,75290,ACALY,Acalypha L.,copperleaf,140,Genus
75307,75307,ACGR2,Acalypha gracilens A. Gray,slender threeseed mercury,180,Species
75332,7168,Plantae,Plantae,Plants,10,Kingdom
75332,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
75332,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
75332,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
75332,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
75332,73681,Rosidae,Rosidae,,70,Subclass
75332,75273,Euphorbiales,Euphorbiales,,80,Order
75332,75289,EUPHOR,Euphorbiaceae Juss.,Spurge family,100,Family
75332,75290,ACALY,Acalypha L.,copperleaf,140,Genus
75332,75332,ACRH,Acalypha rhomboidea Raf.,common threeseed mercury,180,Species
31219,7168,Plantae,Plantae,Plants,10,Kingdom
31219,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
31219,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
31219,15729,Magnoliophyta,Magnoliophyta,Flowering plants,40,Division
31219,31159,Magnoliopsida,Magnoliopsida,Dicotyledons,60,Class
31219,31160,Asteridae,Asteridae,,70,Subclass
31219,31161,Asterales,Asterales,,80,Order
31219,31162,ASTERA,Asteraceae Bercht. & J. Presl,Aster family,100,Family
31219,31176,ACHIL,Achillea L.,yarrow,140,Genus
31219,31206,ACMI2,Achillea millefolium L.,common yarrow,180,Species
31219,31219,ACMIB,Achillea millefolium L. var. borealis (Bong.) Farw.,boreal yarrow,200,Variety
72484,7168,Plantae,Plantae,Plants,10,Kingdom
72484,12206,Tracheobionta,Tracheobionta,Vascular plants,20,Subkingdom
72484,14987,Spermatophyta,Spermatophyta,Seed plants,30,Superdivision
