PlantID,PlantCharacteristicName,PlantCharacteristicValue,PlantCharacteristicCategory,CultivarName,SynonymName
15309,Active Growth Period,Spring and Summer,Morphology/Physiology,,
15309,Bloat,None,Morphology/Physiology,,
15309,C:N Ratio,High,Morphology/Physiology,,
15309,Coppice Potential,No,Morphology/Physiology,,
15309,Fall Conspicuous,No,Morphology/Physiology,,
15309,Fire Resistant,No,Morphology/Physiology,,
15309,Flower Color,Yellow,Morphology/Physiology,,
15309,Flower Conspicuous,No,Morphology/Physiology,,
15309,Foliage Color,Green,Morphology/Physiology,,
15309,Foliage Porosity Summer,Dense,Morphology/Physiology,,
15309,Foliage Porosity Winter,Dense,Morphology/Physiology,,
15309,Foliage Texture,Medium,Morphology/Physiology,,
15309,Fruit/Seed Color,Brown,Morphology/Physiology,,
15309,Fruit/Seed Conspicuous,No,Morphology/Physiology,,
15309,Growth Form,Single Stem,Morphology/Physiology,,
15309,Growth Rate,Slow,Morphology/Physiology,,
15309,"Height at 20 Years, Maximum (feet)",18,Morphology/Physiology,,
15309,"Height, Mature (feet)",60.0,Morphology/Physiology,,
15309,Known Allelopath,No,Morphology/Physiology,,
15309,Leaf Retention,Yes,Morphology/Physiology,,
15309,Lifespan,Short,Morphology/Physiology,,
15309,Low Growing Grass,No,Morphology/Physiology,,
15309,Nitrogen Fixation,None,Morphology/Physiology,,
15309,Resprout Ability,No,Morphology/Physiology,,
15309,Shape and Orientation,Conical,Morphology/Physiology,,
15309,Toxicity,None,Morphology/Physiology,,
15309,Adapted to Coarse Textured Soils,Yes,Growth Requirements,,
15309,Adapted to Fine Textured Soils,Yes,Growth Requirements,,
15309,Adapted to Medium Textured Soils,Yes,Growth Requirements,,
15309,Anaerobic Tolerance,None,Growth Requirements,,
15309,CaCO3 Tolerance,Low,Growth Requirements,,
15309,Cold Stratification Required,Yes,Growth Requirements,,
15309,Drought Tolerance,Low,Growth Requirements,,
15309,Fertility Requirement,Medium,Growth Requirements,,
15309,Fire Tolerance,Low,Growth Requirements,,
15309,"Frost Free Days, Minimum",80,Growth Requirements,,
15309,Hedge Tolerance,Low,Growth Requirements,,
15309,Moisture Use,Medium,Growth Requirements,,
15309,"pH, Maximum",6.0,Growth Requirements,,
15309,"pH, Minimum",4.0,Growth Requirements,,
15309,"Planting Density per Acre, Maximum",1200,Growth Requirements,,
15309,"Planting Density per Acre, Minimum",300,Growth Requirements,,
15309,"Precipitation, Maximum",60,Growth Requirements,,
15309,"Precipitation, Minimum",13,Growth Requirements,,
15309,"Root Depth, Minimum (inches)",20,Growth Requirements,,
15309,Salinity Tolerance,None,Growth Requirements,,
15309,Shade Tolerance,Tolerant,Growth Requirements,,
15309,"Temperature, Minimum (°F)",-43,Growth Requirements,,
15309,Bloom Period,Mid Summer,Reproduction,,
15309,Commercial Availability,Routinely Available,Reproduction,,
15309,Fruit/Seed Abundance,Medium,Reproduction,,
15309,Fruit/Seed Period Begin,Fall,Reproduction,,
15309,Fruit/Seed Period End,Fall,Reproduction,,
15309,Fruit/Seed Persistence,No,Reproduction,,
15309,Propagated by Bare Root,Yes,Reproduction,,
15309,Propagated by Bulb,No,Reproduction,,
15309,Propagated by Container,Yes,Reproduction,,
15309,Propagated by Corm,No,Reproduction,,
15309,Propagated by Cuttings,No,Reproduction,,
15309,Propagated by Seed,Yes,Reproduction,,
15309,Propagated by Sod,No,Reproduction,,
15309,Propagated by Sprigs,No,Reproduction,,
15309,Propagated by Tubers,No,Reproduction,,
15309,Seed per Pound,59840,Reproduction,,
15309,Seed Spread Rate,Slow,Reproduction,,
15309,Seedling Vigor,Low,Reproduction,,
15309,Small Grain,No,Reproduction,,
15309,Vegetative Spread Rate,None,Reproduction,,
15309,Berry/Nut/Seed Product,No,Suitability/Use,,
15309,Christmas Tree Product,Yes,Suitability/Use,,
15309,Fodder Product,No,Suitability/Use,,
15309,Fuelwood Product,Low,Suitability/Use,,
15309,Lumber Product,Yes,Suitability/Use,,
15309,Naval Store Product,Yes,Suitability/Use,,
15309,Nursery Stock Product,Yes,Suitability/Use,,
15309,Palatable Browse Animal,Medium,Suitability/Use,,
15309,Palatable Human,No,Suitability/Use,,
15309,Post Product,No,Suitability/Use,,
15309,Protein Potential,Low,Suitability/Use,,
15309,Pulpwood Product,Yes,Suitability/Use,,
15309,Veneer Product,Yes,Suitability/Use,,
92842,Active Growth Period,Spring and Summer,Morphology/Physiology,,
92842,Bloat,None,Morphology/Physiology,,
92842,C:N Ratio,High,Morphology/Physiology,,
92842,Coppice Potential,No,Morphology/Physiology,,
92842,Fall Conspicuous,Yes,Morphology/Physiology,,
92842,Fire Resistant,Yes,Morphology/Physiology,,
92842,Flower Color,Yellow,Morphology/Physiology,,
92842,Flower Conspicuous,No,Morphology/Physiology,,
92842,Foliage Color,Green,Morphology/Physiology,,
92842,Foliage Porosity Summer,Moderate,Morphology/Physiology,,
92842,Foliage Porosity Winter,Porous,Morphology/Physiology,,
92842,Foliage Texture,Medium,Morphology/Physiology,,
92842,Fruit/Seed Color,Brown,Morphology/Physiology,,
92842,Fruit/Seed Conspicuous,No,Morphology/Physiology,,
92842,Growth Form,Single Stem,Morphology/Physiology,,
92842,Growth Rate,Slow,Morphology/Physiology,,
92842,"Height at 20 Years, Maximum (feet)",25,Morphology/Physiology,,
92842,"Height, Mature (feet)",35.0,Morphology/Physiology,,
92842,Known Allelopath,Yes,Morphology/Physiology,,
92842,Leaf Retention,No,Morphology/Physiology,,
92842,Lifespan,Short,Morphology/Physiology,,
92842,Low Growing Grass,No,Morphology/Physiology,,
92842,Nitrogen Fixation,None,Morphology/Physiology,,
92842,Resprout Ability,Yes,Morphology/Physiology,,
92842,Shape and Orientation,Erect,Morphology/Physiology,,
92842,Toxicity,None,Morphology/Physiology,,
92842,Adapted to Coarse Textured Soils,Yes,Growth Requirements,,
92842,Adapted to Fine Textured Soils,No,Growth Requirements,,
92842,Adapted to Medium Textured Soils,Yes,Growth Requirements,,
92842,Anaerobic Tolerance,None,Growth Requirements,,
92842,CaCO3 Tolerance,Low,Growth Requirements,,
92842,Cold Stratification Required,Yes,Growth Requirements,,
92842,Drought Tolerance,Low,Growth Requirements,,
92842,Fertility Requirement,Medium,Growth Requirements,,
92842,Fire Tolerance,Medium,Growth Requirements,,
92842,"Frost Free Days, Minimum",90,Growth Requirements,,
92842,Hedge Tolerance,None,Growth Requirements,,
92842,Moisture Use,Low,Growth Requirements,,
92842,"pH, Maximum",6.5,Growth Requirements,,
92842,"pH, Minimum",4.4,Growth Requirements,,
