PlantID,Region,Status,Type
21247,L48,N,Native
75307,L48,N,Native
75332,CAN,N,Native
75332,L48,N,Native
31219,AK,N,Native
31219,CAN,N,Native
31219,GL,N,Native
31219,L48,N,Native
31219,SPM,N,Native
72484,CAN,N,Native
72484,L48,N,Native
72491,CAN,N,Native
72491,L48,N,Native
72494,CAN,N,Native
72494,L48,N,Native
72501,AK,N,Native
72501,CAN,N,Native
72501,L48,N,Native
31308,CAN,N,Native
31308,L48,N,Native
14332,AK,N,Native
14332,CAN,N,Native
14332,L48,N,Native
71771,CAN,N,Native
71771,L48,N,Native
93147,L48,N,Native
50074,L48,N,Native
50109,CAN,N,Native
50109,L48,N,Native
50159,CAN,N,Native
50159,L48,N,Native
50186,CAN,N,Native
50186,L48,N,Native
50175,CAN,N,Native
50175,L48,N,Native
50190,CAN,N,Native
50190,L48,N,Native
45501,CAN,N,Native
45501,L48,N,Native
45507,CAN,N,Native
45507,L48,N,Native
45530,CAN,N,Native
45530,L48,N,Native
31339,CAN,N,Native
31339,L48,N,Native
88621,CAN,N,Native
88621,L48,N,Native
27816,CAN,N,Native
27816,L48,N,Native
27864,CAN,N,Native
27864,L48,N,Native
15747,AK,N,Native
15747,CAN,N,Native
15747,L48,N,Native
27871,CAN,N,Native
27871,L48,N,Native
28053,AK,I,Introduced
28053,AK,N,Native
28053,CAN,I,Introduced
28053,CAN,N,Native
28053,L48,I,Introduced
28053,L48,N,Native
27903,CAN,N,Native
27903,L48,N,Native
28074,CAN,N,Native
28074,L48,N,Native
28087,CAN,N,Native
28087,L48,N,Native
69933,AK,N,Native
69933,CAN,N,Native
69933,GL,N,Native
69933,L48,N,Native
69933,SPM,N,Native
55720,L48,N,Native
55766,CAN,I,Introduced
55766,HI,I,Introduced
55766,L48,N,Native
55766,PB,I,Introduced
55783,CAN,N,Native
55783,L48,N,Native
55792,AK,I,Introduced
55792,CAN,I,Introduced
55792,HI,I,Introduced
55792,L48,N,Native
55792,SPM,I,Introduced
55795,CAN,I,Introduced
55795,HI,I,Introduced
55795,L48,N,Native
55795,PB,I,Introduced
55795,PR,N,Native
55795,VI,N,Native
55820,HI,I,Introduced
55820,L48,N,Native
55820,NAV,N,Native
55820,PB,I,Introduced
55820,VI,N,Native
31510,CAN,N,Native
31510,L48,N,Native
31518,CAN,N,Native
31518,L48,N,Native
31476,CAN,N,Native
31476,HI,I,Introduced
31476,L48,I,Introduced
31476,L48,N,Native
88684,CAN,N,Native
88684,L48,N,Native
31534,CAN,N,Native
31534,L48,N,Native
88671,CAN,N,Native
88671,L48,N,Native
88671,SPM,N,Native
88676,CAN,N,Native
88676,L48,N,Native
88682,CAN,N,Native
88682,L48,N,Native
88709,CAN,N,Native
88709,L48,N,Native
88716,CAN,N,Native
88716,L48,N,Native
29645,AK,N,Native
29645,CAN,N,Native
29645,GL,N,Native
29645,L48,N,Native
84354,CAN,N,Native
84354,L48,N,Native
76911,CAN,N,Native
76911,L48,N,Native
67008,CAN,N,Native
67008,L48,N,Native
72524,CAN,N,Native
72524,L48,N,Native
72594,CAN,N,Native
72594,L48,N,Native
64840,AK,N,Native
64840,CAN,N,Native
64840,GL,N,Native
64840,L48,N,Native
64840,SPM,N,Native
73723,CAN,N,Native
73723,L48,N,Native
73752,CAN,I,Introduced
73752,L48,N,Native
72528,CAN,N,Native
72528,L48,N,Native
31790,CAN,N,Native
31790,L48,N,Native
72611,CAN,N,Native
72611,L48,N,Native
72595,L48,N,Native
31779,CAN,N,Native
31779,L48,N,Native
31671,CAN,N,Native
31671,L48,N,Native
31671,SPM,N,Native
31672,CAN,N,Native
31672,L48,N,Native
31672,SPM,N,Native
31700,CAN,N,Native
31700,L48,N,Native
31700,SPM,N,Native
43278,CAN,N,Native
43278,L48,N,Native
43249,AK,N,Native
43249,CAN,N,Native
43249,L48,N,Native
72621,CAN,N,Native
72621,L48,N,Native
31839,AK,N,Native
31839,CAN,N,Native
31839,GL,N,Native
31839,L48,N,Native
29653,CAN,N,Native
29653,L48,N,Native
61946,AK,N,Native
61946,CAN,N,Native
61946,L48,N,Native
61849,CAN,N,Native
61849,CAN,W,Introduced
61849,GL,N,Native
61849,L48,N,Native
61943,AK,N,Native
61943,CAN,I,Introduced
61943,CAN,N,Native
61943,L48,N,Native
61932,AK,I,Introduced
61932,CAN,N,Native
61932,L48,N,Native
61862,CAN,N,Native
61862,L48,N,Native
62044,L48,N,Native
62002,CAN,N,Native
62002,L48,N,Native
74678,CAN,N,Native
74678,L48,N,Native
62027,AK,N,Native
62027,CAN,N,Native
62027,L48,N,Native
61970,AK,N,Native
61970,CAN,N,Native
61970,GL,N,Native
61970,L48,N,Native
62137,CAN,N,Native
62137,L48,N,Native
74681,CAN,N,Native
74681,L48,N,Native
71883,L48,N,Native
92660,CAN,N,Native
92660,L48,N,Native
29657,CAN,N,Native
29657,L48,N,Native
29657,SPM,N,Native
71903,CAN,W,Introduced
71903,HI,I,Introduced
71903,L48,N,Native
71903,PR,N,Native
71903,VI,N,Native
20460,CAN,N,Native
20460,L48,N,Native
16310,CAN,N,Native
16310,L48,N,Native
20433,CAN,N,Native
20433,L48,N,Native
20447,CAN,I,Introduced
20447,L48,N,Native
71241,CAN,I,Introduced
71241,L48,N,Native
20472,CAN,I,Introduced
20472,L48,N,Native
20481,CAN,N,Native
20481,L48,N,Native
20530,L48,N,Native
32195,AK,I,Introduced
32195,CAN,I,Introduced
32195,L48,I,Introduced
32195,L48,N,Native
71252,L48,N,Native
32142,CAN,N,Native
32142,L48,N,Native
32122,L48,N,Native
88790,CAN,N,Native
88790,L48,N,Native
88790,SPM,N,Native
88802,AK,N,Native
88802,CAN,N,Native
88802,L48,I,Introduced
88802,L48,N,Native
32200,AK,N,Native
32200,CAN,N,Native
32200,GL,N,Native
32200,L48,N,Native
43484,L48,N,Native
71268,CAN,N,Native
71268,L48,N,Native
43522,CAN,N,Native
43522,L48,N,Native
32248,L48,N,Native
43579,CAN,N,Native
43579,L48,N,Native
43598,CAN,N,Native
43598,L48,N,Native
43599,CAN,N,Native
43599,L48,N,Native
43534,CAN,N,Native
43534,L48,N,Native
43621,CAN,N,Native
43621,L48,N,Native
43626,CAN,N,Native
43626,L48,N,Native
43571,CAN,N,Native
43571,L48,N,Native
13117,CAN,N,Native
13117,L48,N,Native
13131,AK,N,Native
13131,CAN,N,Native
13131,GL,N,Native
13131,L48,N,Native
13068,L48,N,Native
13080,CAN,N,Native
13080,L48,N,Native
13102,CAN,N,Native
13102,L48,N,Native
13108,CAN,N,Native
13108,L48,N,Native
13136,AK,N,Native
13136,CAN,N,Native
13136,GL,N,Native
13136,HI,NI?,Native/Introduced
13136,HI,I?,Introduced
13136,HI,N,Native
13136,L48,N,Native
50231,CAN,N,Native
50231,L48,N,Native
50286,CAN,N,Native
50286,L48,N,Native
50308,CAN,N,Native
50308,L48,N,Native
77664,CAN,N,Native
77664,L48,N,Native
13405,CAN,N,Native
13405,GL,N,Native
13405,L48,N,Native
13405,SPM,N,Native
78033,CAN,I,Introduced
78033,L48,N,Native
58760,CAN,N,Native
58760,L48,N,Native
12766,CAN,I,Introduced
12766,L48,N,Native
12766,PR,N,Native
78018,L48,N,Native
43867,CAN,N,Native
43867,L48,N,Native
43867,SPM,N,Native
78042,L48,N,Native
78025,L48,N,Native
62212,AK,N,Native
62212,CAN,N,Native
62212,L48,N,Native
43881,CAN,N,Native
43881,L48,N,Native
43881,SPM,N,Native
50350,L48,N,Native
69981,L48,N,Native
70030,CAN,N,Native
70030,L48,N,Native
70049,CAN,N,Native
70049,L48,N,Native
32632,CAN,N,Native
32632,L48,N,Native
70005,CAN,N,Native
70005,L48,N,Native
70005,SPM,N,Native
45549,CAN,N,Native
45549,L48,N,Native
32806,CAN,N,Native
32806,L48,N,Native
12849,CAN,N,Native
12849,L48,N,Native
45550,CAN,N,Native
45550,L48,N,Native
12840,CAN,N,Native
12840,L48,N,Native
12852,CAN,N,Native
12852,L48,N,Native
12860,CAN,N,Native
12860,L48,N,Native
12879,CAN,N,Native
12879,L48,N,Native
12879,SPM,N,Native
12880,AK,N,Native
12880,CAN,N,Native
12880,L48,N,Native
12884,CAN,N,Native
12884,L48,N,Native
12900,CAN,N,Native
12900,L48,N,Native
12885,AK,N,Native
12885,CAN,N,Native
12885,GL,N,Native
12885,L48,N,Native
12885,SPM,N,Native
12904,CAN,N,Native
12904,L48,N,Native
12914,CAN,N,Native
12914,L48,N,Native
12924,AK,N,Native
12924,CAN,N,Native
12924,L48,N,Native
12916,AK,N,Native
12916,CAN,N,Native
12916,GL,N,Native
12916,L48,N,Native
20811,CAN,N,Native
20811,L48,N,Native
20811,SPM,N,Native
20816,CAN,N,Native
20816,L48,N,Native
20816,PR,N,Native
71622,AK,N,Native
71622,CAN,N,Native
71622,L48,N,Native
32910,L48,N,Native
20959,AK,N,Native
20959,CAN,N,Native
20959,L48,N,Native
20959,SPM,N,Native
50364,CAN,N,Native
50364,L48,N,Native
50364,PB,I,Introduced
50364,PR,N,Native
20981,CAN,N,Native
20981,L48,N,Native
21012,CAN,N,Native
21012,L48,N,Native
21036,CAN,N,Native
21036,L48,N,Native
17170,CAN,N,Native
17170,HI,I,Introduced
17170,L48,N,Native
17170,PR,N,Native
62341,AK,N,Native
62341,CAN,N,Native
62341,GL,N,Native
62341,L48,N,Native
62341,SPM,N,Native
21124,CAN,N,Native
21124,L48,N,Native
21188,AK,N,Native
21188,CAN,N,Native
21188,GL,N,Native
21188,L48,N,Native
21188,SPM,N,Native
16335,AK,N,Native
16335,CAN,N,Native
16335,L48,N,Native
29715,CAN,N,Native
29715,L48,N,Native
29715,SPM,N,Native
85427,CAN,N,Native
85427,L48,N,Native
52815,CAN,N,Native
52815,L48,N,Native
29725,AK,N,Native
29725,CAN,N,Native
29725,L48,N,Native
52795,L48,N,Native
52784,AK,I,Introduced
52784,CAN,N,Native
52784,L48,I,Introduced
52784,L48,N,Native
52784,SPM,I,Introduced
42027,AK,N,Native
42027,CAN,N,Native
42027,GL,N,Native
42027,L48,N,Native
42027,SPM,N,Native
