Symbol,Scientific Name,Common Name,Genus,Species
CADO7,×Calammophila don-hensonii Reznicek & E.J. Judziewicz [Ammophila breviligulata × Calamagrostis canadensis],Henson's calammophila,×Calammophila,don-hensonii
ABBA,Abies balsamea (L.) Mill.,balsam fir,Abies,balsamea
ACGR2,Acalypha gracilens A. Gray,slender threeseed mercury,Acalypha,gracilens
ACRH,Acalypha rhomboidea Raf.,common threeseed mercury,Acalypha,rhomboidea
ACVI,Acalypha virginica L.,Virginia threeseed mercury,Acalypha,virginica
ACNE2,Acer negundo L.,boxelder,Acer,negundo
ACNI5,Acer nigrum Michx. f.,black maple,Acer,nigrum
ACPE,Acer pensylvanicum L.,striped maple,Acer,pensylvanicum
ACRU,Acer rubrum L.,red maple,Acer,rubrum
ACSA2,Acer saccharinum L.,silver maple,Acer,saccharinum
ACSA3,Acer saccharum Marshall,sugar maple,Acer,saccharum
ACSP2,Acer spicatum Lam.,mountain maple,Acer,spicatum
ACMI2,Achillea millefolium L.,common yarrow,Achillea,millefolium
ACMIB,Achillea millefolium L. var. borealis (Bong.) Farw.,boreal yarrow,Achillea,millefolium
ACMIO,Achillea millefolium L. var. occidentalis DC.,western yarrow,Achillea,millefolium
ACAM,Acorus americanus (Raf.) Raf.,sweetflag,Acorus,americanus
ACPA,Actaea pachypoda Elliott,white baneberry,Actaea,pachypoda
ACRA7,Actaea racemosa L.,black baneberry,Actaea,racemosa
ACRAR,Actaea racemosa L. var. racemosa,black bugbane,Actaea,racemosa
ACRU2,Actaea rubra (Aiton) Willd.,red baneberry,Actaea,rubra
ADBI,Adenocaulon bicolor Hook.,American trailplant,Adenocaulon,bicolor
ADAL,Adiantum aleuticum (Rupr.) Paris,Aleutian maidenhair,Adiantum,aleuticum
ADPE,Adiantum pedatum L.,northern maidenhair,Adiantum,pedatum
ADFU,"Adlumia fungosa (Aiton) Greene ex Britton, Sterns & Poggenb.",allegheny vine,Adlumia,fungosa
AEMA2,Aesculus ×marylandica J.R. Booth ex G. Kirchn. [flava × glabra],buckeye,Aesculus,×marylandica
AEGL,Aesculus glabra Willd.,Ohio buckeye,Aesculus,glabra
