PlantID,Region,Status,Type
31219,AK,N,Native
31219,CAN,N,Native
31219,GL,N,Native
31219,L48,N,Native
31219,SPM,N,Native
31308,CAN,N,Native
31308,L48,N,Native
72494,CAN,N,Native
72494,L48,N,Native
72491,CAN,N,Native
72491,L48,N,Native
72501,AK,N,Native
72501,CAN,N,Native
72501,L48,N,Native
72484,CAN,N,Native
72484,L48,N,Native
16268,AK,N,Native
16268,CAN,N,Native
16268,L48,N,Native
14332,AK,N,Native
14332,CAN,N,Native
14332,L48,N,Native
71771,CAN,N,Native
71771,L48,N,Native
93147,L48,N,Native
31239,AK,N,Native
31239,CAN,N,Native
31239,GL,N,Native
31239,L48,N,Native
31239,SPM,N,Native
93135,CAN,N,Native
93135,L48,N,Native
14357,CAN,N,Native
14357,L48,N,Native
